STATION,STATION_NAME,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI
GHCND:USW00094746,WORCESTER MA US,201001,3.49,17.1,16.7
GHCND:USW00094746,WORCESTER MA US,201002,3.23,15.6,16.0
GHCND:USW00094746,WORCESTER MA US,201003,4.21,11.4,9.4
GHCND:USW00094746,WORCESTER MA US,201004,4.11,2.8,1.4
GHCND:USW00094746,WORCESTER MA US,201005,4.19,-777.7,0.0
GHCND:USW00094746,WORCESTER MA US,201006,4.19,0.0,0.0
GHCND:USW00094746,WORCESTER MA US,201007,4.23,0.0,0.0
GHCND:USW00094746,WORCESTER MA US,201008,3.71,0.0,0.0
GHCND:USW00094746,WORCESTER MA US,201009,3.93,0.0,0.0
GHCND:USW00094746,WORCESTER MA US,201010,4.68,0.2,0.0
GHCND:USW00094746,WORCESTER MA US,201011,4.28,2.6,1.8
GHCND:USW00094746,WORCESTER MA US,201012,3.82,14.4,11.3
